,index,title,date,hazard,hazard_type,recall_class,audience,distribution,brand,company,product
122,122,Venetian Meats brand Finocchiona Salami Sweet Fennel recalled due to Salmonella,2022-12-22,Salmonella,Microbial contamination,Class 2,General public,"British Columbia, Alberta, Manitoba,Ontario",Venetian Meats,Venetian Meats brand Finocchiona Salami Sweet Fennel recalled due to Salmonella,Finocchiona salami sweet fennel
123,123,Loop Mission brand Probiotic Soda products recalled due to possible spoilage,2022-12-20,Quality/Spoilage,Microbial contamination,Class 3,Hotel/Restaurant/Institutional,"Ontario,Quebec",Loop Mission,"Hotels, restaurants and institutions",Probiotic soda products
124,124,Power Life by Tony Horton brand High Impact Plant Protein Chocolate Flavor recalled due to undeclared milk,2022-12-19,Other,Other,,Class 1,Online,Power Life by Tony Horton,Food - Other,High impact plant protein chocolate flavor
125,125,Scotian Isle Baked Goods brand Chicken Pot Pie 5in. recalled due to undeclared egg,2022-12-16,Multiple food items,Multiple food items,,Class 1,Ontario,Scotian Isle Baked Goods,Food - Multiple food items,Chicken pot pie 5in.
126,126,alpha brand Plant-based Breakfast Sandwich – Meatless Sausage recalled due to undeclared milk,2022-12-16,Milk,Allergen,Class 1,General public,Nationally,alpha,Alpha brand Plant-Based Breakfast Sandwich - Meatless Sausage recalled due to undeclared milk,Plant-based breakfast sandwich – meatless sausage
127,127,Igor brand Gorgonzola Dolce recalled due to Listeria monocytogenes,2022-12-16,Listeria monocytogenes,Microbial contamination,Class 1,General public,"Sold By Various Retailers, Either Clerk-Served Or In Smaller Packages, With Or Without A Label That May Not Bear The…",Igor,Igor brand Gorgonzola mild ripened blue-veined cheese recalled due to Listeria monocytogenes,Gorgonzola dolce
128,128,Everland brand Organic Coconut Chocolate Bark recalled due to undeclared milk,2022-12-14,Milk,Allergen,Class 1,General public,"British Columbia, Alberta,",Everland,Bliss Balls brand and Everland brand chocolate products recalled due to undeclared milk,Organic coconut chocolate bark
130,130,Pinty's Eatwell brand Gluten Free Chicken Nuggets recalled due to pieces of rubber,2022-12-02,Extraneous Material,Extraneous Material,Class 2,Retail,"Pinty'S Eatwell Br Gluten Free Chicken Nuggets Recalled Due To Pieces Of Rubber

The Recalled Products Have Been Sold Nationally",Pinty's Eatwell,Retail,Gluten free chicken nuggets
131,131,Alpha brand Plant-Based Breakfast Sandwich - Meatless Sausage recalled due to undeclared milk,2022-11-30,Milk,Allergen,Class 2,Retail,Nationally,Alpha,Retail,Plant-based breakfast sandwich - meatless sausage
132,132,Cruzilles brand Acid Mini Pastille – Fruit Jellies recalled due to undeclared milk,2022-11-30,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,"Ontario,Quebec",Cruzilles,"Food - Candy, confectionary, snacks and sweeteners",Acid mini pastille – fruit jellies
133,133,Casa Grande brand Salsa Roja (Mild) recalled due to pieces of metal,2022-11-30,Extraneous Material,Extraneous Material,Class 2,Retail,"Newfoundl,Labrador",Casa Grande,Retail,Salsa roja (mild)
134,134,Lebby brand Dark Chocolate Chickpea Snacks recalled due to undeclared milk,2022-11-25,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,Nationally,Lebby,"Food - Candy, confectionary, snacks and sweeteners",Dark chocolate chickpea snacks
135,135,Ground Turkey Extra Lean 98/2 recalled due to pieces of bone,2022-11-24,Processed,Meat and poultry,,Class 2,Nationally,,Food - Meat and poultry - Processed,To pieces of bone
136,136,Bliss Balls brand and Everland brand chocolate products recalled due to undeclared milk,2022-11-19,Milk,Allergen,Class 1,General public,Nationally,Bliss Balls,Everland brand Organic Coconut Chocolate Bark recalled due to undeclared milk,And everland brand chocolate products
137,137,Mounet Group brand Labneh – Soft Unripened Cheese in Vegetable Oil recalled due to potential presence of dangerous bacteria,2022-11-18,Dairy,Dairy,,Class 1,Quebec,Mounet Group,Food - Dairy,Labneh – soft unripened cheese in vegetable oil
138,138,Sélection du Pâtissier brand Lemon and Poppyseed Poundcake recalled due to pieces of plastic,2022-11-18,Extraneous Material,Extraneous Material,Class 3,Hotel/Restaurant/Institutional,"Nova Scotia, Ontario,,Quebec",Sélection du Pâtissier,"Hotels, restaurants and institutions",Lemon and poppyseed poundcake
139,139,Lactaid brand 4% Milkfat Min. Cottage Cheese recalled due to plastic,2022-11-16,Extraneous Material,Extraneous Material,Class 2,Hotel/Restaurant/Institutional,"Ontario,Quebec",Lactaid,"Hotels, restaurants and institutions",4% milkfat min. cottage cheese
140,140,Silk brand Fortified Almond Beverage - Unsweetened recalled due to spoilage,2022-11-16,Quality/Spoilage,Microbial contamination,Class 3,Retail,"British Columbia, Ontario,,Quebec",Silk,Retail,Fortified almond beverage - unsweetened
141,141,Hardbite brand Wild Onion & Yogurt Potato Chips recalled due to undeclared milk,2022-11-10,Milk,Allergen,Class 2,Retail,"Alberta, British Columbia, Manitoba, Ontario,,Quebec",Hardbite,Retail,Wild onion & yogurt potato chips
142,142,Seed Ranch Flavor Co. brand Umami Everyday Sauce recalled due to undeclared soy,2022-11-07,Soy,Allergen,Class 2,General public,"By Vegn Haus At Vegan Markets In Toronto, Mississauga,,Burlington, Ontario,",Seed Ranch Flavor Co.,Seed Ranch Flavor Co. brand Everything But... The Sushi & Dumplings Hot Sauce and Umami Everyday Sauce recalled due to undeclared soy,Umami everyday sauce
143,143,Tim Hortons brand Soup Base Chicken Noodle recalled due to presence of insects,2022-11-07,Extraneous Material,Extraneous Material,Class 3,Hotel/Restaurant/Institutional,"Ontario,Alberta",Tim Hortons,"Hotels, restaurants and institutions",Soup base chicken noodle
144,144,Loop Mission brand Sparkling Strawberry Probiotic Soda recalled due to possible spoilage,2022-11-07,Quality/Spoilage,Microbial contamination,Class 3,Retail,"Ontario,Quebec",Loop Mission,Retail,Sparkling strawberry probiotic soda
145,145,Cappola brand Genoa Salami recalled due to undeclared milk and wheat,2022-11-04,Processed,Meat and poultry,,Class 1,Nationally,Cappola,Food - Meat and poultry - Processed,Genoa salami
146,146,Seed Ranch Flavor Co. brand Everything But... The Sushi & Dumplings Hot Sauce and Umami Everyday Sauce recalled due to undeclared soy,2022-11-04,Condiments,Condiments,,Class 2,The Affected Products Are Being Recalled From The Marketplace Because They Contain Soy Which Is Not Declared On The Label,Seed Ranch Flavor Co.,Food - Condiments,Everything but... the sushi & dumplings hot sauce and umami everyday sauce
147,147,Bliss Balls brand Chocolate Ginger and Everland brand Chocolate Hazelnuts recalled due to undeclared milk,2022-11-04,Milk,Allergen,Class 1,General public,"Alberta,British Columbia",Bliss Balls,Everland brand Organic Coconut Chocolate Bark recalled due to undeclared milk,Chocolate ginger and everland brand chocolate hazelnuts
149,149,Family's Choice Distribution brand Tahini Extra Sesame Seed Paste recalled due to Salmonella,2022-10-24,Salmonella,Microbial contamination,Class 2,Hotel/Restaurant/Institutional,Ontario,Family's Choice Distribution,"Hotels, restaurants and institutions",Tahini extra sesame seed paste
150,150,UNREAL brand dark chocolate coconut minis recalled due to Salmonella,2022-10-21,"Candy, confectionary, snacks and sweeteners",Candy,,Class 2,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, …",UNREAL,"Food - Candy, confectionary, snacks and sweeteners",Dark chocolate coconut minis
151,151,Bonta brand Pepperonata recalled due to pieces of glass,2022-10-21,Extraneous Material,Extraneous Material,Class 2,Retail,"Alberta, Manitoba, British Columbia,Saskatchewan",Bonta,Retail,Pepperonata
153,153,Abbott brand Similac Sterilized Water recalled due to spoilage,2022-10-14,Quality/Spoilage,Microbial contamination,Class 3,Hotel/Restaurant/Institutional,Nationally,Abbott,"Hotels, restaurants and institutions",Similac sterilized water
154,154,Certain Circle K / Couche Tard brand Sandwiches recalled due to Listeria monocytogenes,2022-10-14,Multiple food items,Multiple food items,,Class 1,Nationally,Certain Circle K / Couche Tard,Food - Multiple food items,Sandwiches
155,155,Aman's brand Mango Chutney recalled due to pieces of glass,2022-10-14,Extraneous Material,Extraneous Material,Class 2,Retail,Ontario,Aman's,Retail,Mango chutney
156,156,"Le Verger à Ti-Paul brand ""Le pieux - Cidre de feu"" recalled due to lead",2022-10-13,Contamination,Chemical,,General public,Quebec,Le Verger à Ti-Paul,Retail,"""le pieux - cidre de feu"""
157,157,Certain Nature’s Best brand and Zavat Chalav brand cheese products recalled due to Listeria monocytogenes,2022-10-06,Listeria monocytogenes,Microbial contamination,Class 1,General public,Nationally,Certain Nature’s Best,Certain Nature's Best brand and Zavat Chalav brand Mozzarella Cheese products recalled due to Listeria monocytogenes,And zavat chalav brand cheese products
158,158,Certain Nature's Best brand and Zavat Chalav brand Mozzarella Cheese products recalled due to Listeria monocytogenes,2022-10-04,Dairy,Dairy,,Class 1,Nationally,Certain Nature's Best,Food - Dairy,And zavat chalav brand mozzarella cheese products
159,159,Le Verger à Ti-Paul brand Cider recalled due to lead,2022-10-04,Contamination,Chemical,Class 2,Retail,Quebec,Le Verger à Ti-Paul,Retail,Cider
160,160,No brand Low-Fat Mozzarella Cheese recalled due to Listeria monocytogenes,2022-10-04,Dairy,Dairy,,Class 1,Quebec,No,Food - Dairy,Low-fat mozzarella cheese
161,161,Various brands of oysters recalled by Oyster Kings Inc. due to Salmonella,2022-09-27,Fresh,Fish and seafood,,Class 2,Nationally,Various,Food - Fish and seafood - Fresh,Of oysters
162,162,Bliss Balls brand Chocolate Coconut Cream recalled due to undeclared milk,2022-09-23,Milk,Allergen,Class 3,Retail,British Columbia,Bliss Balls,Retail,Chocolate coconut cream
163,163,No brand German Frikadellen recalled due to undeclared gluten and wheat,2022-09-22,Gluten,Allergen,Class 3,Retail,Alberta,No,Retail,German frikadellen
164,164,"Fresh and Local brand Turkey, Bacon Sub recalled due to Listeria monocytogenes",2022-09-21,Other,Other,,Class 1,British Columbia,Fresh and Local,Food - Other,"Turkey, bacon sub"
165,165,K-Fresh Fresh Produce brand Enoki Mushroom recalled due to Listeria monocytogenes,2022-09-18,Fresh,Fruits and vegetables,,Class 1,Nationally,K-Fresh Fresh Produce,Food - Fruits and vegetables - Fresh,Enoki mushroom
166,166,Viana brand Veggie Cevapcici recalled due to undeclared almond,2022-09-16,Other,Other,,Class 1,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario,,Quebec,May Have Been…",Viana,Food - Other,Veggie cevapcici
167,167,Various brands of salad products recalled due to pieces of plastic,2022-09-15,Extraneous Material,Extraneous Material,Class 2,Retail,"Various Brs Of Salad Products Recalled Due To Pieces Of Plastic

The Recalled Products Were Distributed In Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Isl,Newfoundl,Labrador",Various,Retail,Of salad products
168,168,Eden brand Organic Apple Juice recalled due to patulin,2022-09-15,Contamination,Chemical,Class 2,Retail,Nationally,Eden,Retail,Organic apple juice
169,169,M&M Food Market brand Prime Rib Beef Burgers recalled due to undeclared gluten and wheat,2022-09-09,Gluten,Allergen,Class 2,Retail,"Ontario, Nova Scotia,Quebec",M&M Food Market,Retail,Prime rib beef burgers
170,170,Calvé brand « Pindasaus » recalled due to pieces of rubber,2022-09-09,Extraneous Material,Extraneous Material,Class 3,Retail,"Ontario,Nova Scotia",Calvé,Retail,« pindasaus »
171,171,Bonvallis brand Nevat (cheese) recalled due to generic E. coli,2022-09-02,E. coli,Microbial contamination,Class 2,Retail,Quebec,Bonvallis,Retail,Nevat (cheese)
172,172,Mr. Right brand Keampferia Galanga Powder (sand ginger powder) recalled due to aconitine contamination,2022-09-01,Herbs and spices,Herbs and spices,,Class 1,"The Affected Product Is Being Recalled From The Marketplace Due To Aconitine Contamination The Toxin, Aconitine, Comes From The Roots Of A Plant, Monkshood, Also Known As Wolfsbane, Or Keampfeira, Which Is A Poisonous Plant

Food Contaminated With…",Mr. Right,Food - Herbs and spices,Keampferia galanga powder (sand ginger powder)
173,173,Lamb's Supreme brand Shredded IQF Hash Browns recalled due to Listeria monocytogenes,2022-08-30,Listeria monocytogenes,Microbial contamination,,General public,"British Columbia, Alberta, Saskatchewan, Ontario, New Brunswick, Nova Scotia,Price Edward Isl",Lamb's Supreme,"Hotels, restaurants and institutions",Shredded iqf hash browns
174,174,Nature's Intent brand Dark Chocolate Enrobed Pineapples recalled due to undeclared milk,2022-08-29,Milk,Allergen,Class 2,Retail,"Alberta,Ontario",Nature's Intent,Retail,Dark chocolate enrobed pineapples
175,175,4 In. Split Top Brioche Style Buns recalled due to potential presence of dangerous bacteria and Cronobacter sakazakii,2022-08-26,"Nuts, grains, and ",Nuts,,Class 2,Ontario,,"Food - Nuts, grains, and seeds",To potential presence of dangerous bacteria and cronobacter sakazakii
176,176,Mrakovic Fine Foods brand Natural Chicken Burger recalled due to undeclared egg,2022-08-24,Egg,Allergen,Class 2,Retail,Ontario,Mrakovic Fine Foods,Retail,Natural chicken burger
177,177,"Life120 brand ""Ricotta Di Bufala Campana Dop"" recalled due to generic E. coli",2022-08-24,E. coli,Microbial contamination,Class 2,Retail,Quebec,Life120,Retail,"""ricotta di bufala campana dop"""
178,178,Food Recall Warning (Allergen) – Cache Cuisine brand Pro-licious Protein Pancake & Waffle Mix recalled due to improperly undeclared milk,2022-08-19,Grain products,Grain products,,Class 2,Nationally,Food Recall Warning (Allergen) – Cache Cuisine,Food - Grain products,Pro-licious protein pancake & waffle mix
179,179,"Food Recall Warning (Allergen) – Mastro San Daniele brand Charcuterie Trio – Prosciutto Cotto, Capocollo, Mortadella recalled due to undeclared milk",2022-08-19,Processed,Meat and poultry,,Class 1,"British Columbia, Alberta, Ontario, New Brunswick, Nova Scotia,,May Have Been…",Food Recall Warning (Allergen) – Mastro San Daniele,Food - Meat and poultry - Processed,"Charcuterie trio – prosciutto cotto, capocollo, mortadella"
180,180,Delizia brand Vegetarian Ham recalled due to undeclared gluten and wheat,2022-08-19,Gluten,Allergen,,General public,"Alberta, British Columbia, Manitoba,Ontario",Delizia,Retail,Vegetarian ham
181,181,Supherb Farms brand Fresh Frozen Dill and Fresh Frozen Jalapeño Red recalled due to Listeria monocytogenes,2022-08-19,Listeria monocytogenes,Microbial contamination,Class 1,Hotel/Restaurant/Institutional,"British Columbia, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia,Newfoundl,Labrador",Supherb Farms,"Hotels, restaurants and institutions",Fresh frozen dill and fresh frozen jalapeño red
182,182,Best Buy brand Chicken Tournedos with Bacon recalled due to pieces of bone,2022-08-15,Extraneous Material,Extraneous Material,Class 2,Retail,"Ontario, Quebec, New Brunswick,Newfoundl,Labrador",Best Buy,Retail,Chicken tournedos with bacon
183,183,Supherb Farms brand IQF Dill recalled due to Listeria monocytogenes,2022-08-12,Listeria monocytogenes,Microbial contamination,Class 1,Manufacturers,Ontario,Supherb Farms,Manufacturers,Iqf dill
184,184,Green Garden brand Fresh Mint recalled due to generic E. coli,2022-08-12,E. coli,Microbial contamination,Class 2,Warehouse,"Quebec,Ontario",Green Garden,Warehouse,Fresh mint
185,185,Crescent brand Pastrami and Turkey Breast - Tuscan Flavoured recalled due to Listeria monocytogenes,2022-08-11,Processed,Meat and poultry,,Class 1,Ontario,Crescent,Food - Meat and poultry - Processed,Pastrami and turkey breast - tuscan flavoured
186,186,Taste of Ukraine brand Chicken Pelmeni recalled due to undeclared milk,2022-08-10,Milk,Allergen,Class 2,Retail,British Columbia,Taste of Ukraine,Retail,Chicken pelmeni
187,187,Sher the Love brand Fruit and Veggie Squares recalled due to improperly declared milk,2022-08-10,Milk,Allergen,Class 2,Retail,Ontario,Sher the Love,Retail,Fruit and veggie squares
188,188,Circle K brand Classic Potato Chips recalled due to undeclared milk,2022-08-09,Milk,Allergen,Class 3,Retail,Ontario,Circle K,Retail,Classic potato chips
189,189,Amy's brand Vietnamese Banh Mi Wrap recalled due to incomplete labelling for mustard,2022-08-05,Mustard,Allergen,Class 2,Retail,Nationally,Amy's,Retail,Vietnamese banh mi wrap
190,190,Sober Island brand OG Oysters recalled due to generic E. coli,2022-08-04,E. coli,Microbial contamination,Class 2,Hotel/Restaurant/Institutional,Nova Scotia,Sober Island,"Hotels, restaurants and institutions",Og oysters
191,191,Adonis brand All Dressed Mini Pizzas and Hot Dog Rolls recalled due to undeclared pea protein,2022-08-04,Other,Allergen,Class 3,Retail,"Ontario,Quebec",Adonis,Retail,All dressed mini pizzas and hot dog rolls
192,192,Vicentina Fine Foods Gourmet brand lasagna products recalled due to undeclared egg,2022-07-29,Egg,Allergen,Class 2,Retail,Ontario,Vicentina Fine Foods Gourmet,Retail,Lasagna products
193,193,Certain Groove Chocolate brand and Daniel Chocolates brand dark chocolate bars recalled due to undeclared milk,2022-07-28,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,Nationally,Certain Groove Chocolate,"Food - Candy, confectionary, snacks and sweeteners",And daniel chocolates brand dark chocolate bars
194,194,Sask Prairie brand Dill Pickle Flavoured Vodka recalled due to pieces of glass,2022-07-28,Extraneous Material,Extraneous Material,Class 3,Retail,Ontario,Sask Prairie,Retail,Dill pickle flavoured vodka
195,195,Vicentina Fine Foods Gourmet brand Meat Lasagna recalled due to undeclared cashew,2022-07-27,Multiple food items,Multiple food items,,Class 2,Ontario,Vicentina Fine Foods Gourmet,Food - Multiple food items,Meat lasagna
196,196,"Organic Traditions brand dark chocolate covered nut products recalled due to possible undeclared milk, cashew, milk, almond and/or hazelnut",2022-07-26,Milk,Allergen,Class 2,Retail,Nationally,Organic Traditions,Retail,Dark chocolate covered nut products
197,197,Irresistibles brand Sesame Asian Style Dressing recalled due to spoilage,2022-07-25,Quality/Spoilage,Microbial contamination,,General public,"Ontario,Quebec",Irresistibles,Retail,Sesame asian style dressing
198,198,Certain That's it. brand Dark Chocolate Truffles recalled due to undeclared milk,2022-07-23,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,Nationally,Certain That's it.,"Food - Candy, confectionary, snacks and sweeteners",Dark chocolate truffles
199,199,Certain Organic Traditions brand dark chocolate nut products recalled due to undeclared milk and hazelnut,2022-07-22,Milk,Allergen,Class 2,Retail,Nationally,Certain Organic Traditions,Retail,Dark chocolate nut products
200,200,Certain Zabiha Halal brand and Maple Lodge Farms brand Chicken Wiener products recalled due to undeclared pea protein,2022-07-21,Processed,Meat and poultry,,Class 2,Nationally,Certain Zabiha Halal,Food - Meat and poultry - Processed,And maple lodge farms brand chicken wiener products
201,201,Certain Enjoy Life brand Soft Baked Cookies – Chocolate Chip recalled due to possible presence of pieces of plastic,2022-07-20,Extraneous Material,Extraneous Material,Class 2,General public,Nationally,Certain Enjoy Life,Certain Enjoy Life brand bakery products recalled due to possible presence of pieces of plastic,Soft baked cookies – chocolate chip
202,202,Knorr Professional Soup du jour brand Red Thai Curry Chicken with Rice Soup Mix recalled due to undeclared milk,2022-07-18,Milk,Allergen,Class 1,Hotel/Restaurant/Institutional,Nationally,Knorr Professional Soup du jour,"Hotels, restaurants and institutions",Red thai curry chicken with rice soup mix
203,203,Various brands of chocolate products recalled due to improperly declared milk,2022-07-18,Milk,Allergen,Class 2,Retail,"Alberta, Saskatchewan, Manitoba, Ontario,British Columbia",Various,Retail,Of chocolate products
204,204,Crave Stevia brand chocolate products recalled due to undeclared milk,2022-07-15,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New…",Crave Stevia,"Food - Candy, confectionary, snacks and sweeteners",Chocolate products
206,206,Fry's brand Orange Cream (Dark Chocolate Bar) recalled due to undeclared milk,2022-07-15,Milk,Allergen,Class 2,Retail,"British Columbia, Alberta, Ontario,Quebec",Fry's,Retail,Orange cream (dark chocolate bar)
207,207,Various brands of Palm Oil recalled due to Salmonella,2022-07-08,Salmonella,Microbial contamination,Class 3,Hotel/Restaurant/Institutional,"Quebec,Manitoba",Various,"Hotels, restaurants and institutions",Of palm oil
208,208,That's It. brand Dark Chocolate Fig Truffles recalled due to undeclared milk,2022-07-05,Milk,Allergen,Class 2,Retail,Nationally,That's It.,Retail,Dark chocolate fig truffles
209,209,Certain Enjoy Life brand bakery products recalled due to possible presence of pieces of plastic,2022-07-01,Extraneous Material,Extraneous Material,Class 2,General public,Nationally,Certain Enjoy Life,Certain Enjoy Life brand Soft Baked Cookies – Chocolate Chip recalled due to possible presence of pieces of plastic,Bakery products
210,210,TWA Fungi brand King Oyster Mushroom recalled due to Listeria monocytogenes,2022-07-01,Fresh,Fruits and vegetables,,Class 1,Nationally,TWA Fungi,Food - Fruits and vegetables - Fresh,King oyster mushroom
211,211,RemarkaBall brand Crunchy Energy Balls recalled due to undeclared milk,2022-06-30,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,Alberta,RemarkaBall,"Food - Candy, confectionary, snacks and sweeteners",Crunchy energy balls
213,213,Lao Beijing brand Drinkable Yogurt recalled due to mould,2022-06-28,Quality/Spoilage,Microbial contamination,Class 3,Retail,"British Columbia,Ontario",Lao Beijing,Retail,Drinkable yogurt
215,215,T.A.S. brand Coconut Water recalled due to undeclared milk,2022-06-24,Non-alcoholic,Beverages,,Class 1,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario,Quebec",T.A.S.,Food - Beverages - Non-alcoholic,Coconut water
216,216,Gelato Artigianale al gusto di Raspberry Gelato recalled due to possible norovirus contamination of raspberries used in product,2022-06-24,Dairy,Dairy,,Class 2,"At Angelo'S Italian Market Inc (London, On)",,Food - Dairy,To possible norovirus contamination of raspberries used in product
217,217,Raaka brand Coconut Milk Unroasted Dark Chocolate 60% Cacao recalled due to undeclared sesame,2022-06-24,Sesame ,Allergen,Class 2,Retail,Nationally,Raaka,Retail,Coconut milk unroasted dark chocolate 60% cacao
218,218,Crave Stevia brand Dark All Natural Chocolate recalled due to undeclared milk,2022-06-23,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,Nationally,Crave Stevia,"Food - Candy, confectionary, snacks and sweeteners",Dark all natural chocolate
219,219,Master Chocolat Bernard brand Dark Chocolate Chips recalled due to undeclared milk,2022-06-23,Milk,Allergen,Class 2,Retail,"Alberta,Saskatchewan",Master Chocolat Bernard,Retail,Dark chocolate chips
220,220,Various brands of Ginger Cookies and Oatmeal Choc Chip Cookies recalled due to pieces of metal,2022-06-23,Extraneous Material,Extraneous Material,Class 2,Retail,British Columbia,Various,Retail,Of ginger cookies and oatmeal choc chip cookies
221,221,RemarkaBall brand Crunchy Almond Crunchy Energy Balls recalled due to undeclared milk,2022-06-21,Milk,Allergen,Class 2,Retail,Alberta,RemarkaBall,Retail,Crunchy almond crunchy energy balls
222,222,Fresh Prep brand Creamy Basil Pesto Gnocchi recalled due to undeclared wheat,2022-06-21,Gluten,Allergen,Class 3,Retail,British Columbia,Fresh Prep,Retail,Creamy basil pesto gnocchi
223,223,Certain Abbott brand powdered infant formula products recalled due to possible Cronobacter sakazakii and Salmonella,2022-06-19,Salmonella,Microbial contamination,Class 1,General public,"Shoppers Drug Mart Is Recalling Certain Abbott Br Powdered Infant Formula Products From The Marketplace Due To Possible Cronobacter Sakazakii,Salmonella Contamination The Products Were Previously Recalled On February 17, 2022,Some Units Were…",Certain Abbott,Certain Abbott brand powdered infant formula products recalled due to Cronobacter sakazakii and Salmonella,Powdered infant formula products
224,224,Certain Revive Superfoods brand Smoothies and Oats recalled due to possible norovirus contamination of raspberries used in these products,2022-06-18,Norovirus,Microbial contamination,Class 2,General public,Nationally,Certain Revive Superfoods,Alasko brand IQF Whole Raspberries recalled due to norovirus,Smoothies and oats
225,225,Alasko brand IQF Whole Raspberries recalled due to norovirus,2022-06-10,Norovirus,Microbial contamination,Class 1,General public,"Quebec, Ontario, Nova Scotia, Newfoundl,Labrador,Nunavut",Alasko,Certain Revive Superfoods brand Smoothies and Oats recalled due to possible norovirus contamination of raspberries used in these products,Iqf whole raspberries
226,226,"Certain Rico ‘n Lalo brand and Mini Lalo brand frozen bars recalled due to undeclared hazelnut, milk and sulphites",2022-06-08,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,"The Food Recall Warning Issued On June 1, 2022 Has Been Updated To Include An Additional Undeclared Allergen, Hazelnut This Additional Information Was Identified During The Canadian Food Inspection Agency'S (Cfia) Food Safety Investigation…",Certain Rico ‘n Lalo,"Food - Candy, confectionary, snacks and sweeteners",And mini lalo brand frozen bars
227,227,Baril brand Processed Potatoes recalled due to pieces of metal,2022-06-03,Extraneous Material,Extraneous Material,Class 2,Hotel/Restaurant/Institutional,Quebec,Baril,"Hotels, restaurants and institutions",Processed potatoes
228,228,Certain Tri-Star Seafood Supply Ltd. Spot Prawns recalled due to norovirus,2022-06-02,Norovirus,Microbial contamination,Class 2,General public,Nationally,,Certain Tri-Star Seafood Supply Ltd. brand Live Spot Prawns recalled due to norovirus,To norovirus
229,229,Freshprep brand Crunchy Caesar Salad recalled due to undeclared milk,2022-06-02,Multiple food items,Multiple food items,,Class 2,"Alberta,British Columbia",Freshprep,Food - Multiple food items,Crunchy caesar salad
230,230,Whole raspberries (frozen) recalled due to norovirus,2022-06-01,Frozen,Fruits and vegetables,,Class 2,"At Épicerie Frenette, 625 Rue Principale, Beresford, New Brunswick",,Food - Fruits and vegetables - Frozen,To norovirus
231,231,Certain Tri-Star Seafood Supply Ltd. brand Live Spot Prawns recalled due to norovirus,2022-05-31,Norovirus,Microbial contamination,Class 2,General public,"British Columbia, Alberta, Manitoba,,Ontario…",Certain Tri-Star Seafood Supply Ltd.,Certain Tri-Star Seafood Supply Ltd. Spot Prawns recalled due to norovirus,Live spot prawns
232,232,Certain Sweet Spot Chocolate Shop brand peanut butter-containing chocolates recalled due to Salmonella,2022-05-26,"Candy, confectionary, snacks and sweeteners",Candy,,Class 2,Nova Scotia,Certain Sweet Spot Chocolate Shop,"Food - Candy, confectionary, snacks and sweeteners",Peanut butter-containing chocolates
233,233,Rogers brand Golden Yellow Sugar recalled due to pieces of plastic,2022-05-24,Extraneous Material,Extraneous Material,Class 2,Retail,"Rogers Br Golden Yellow Sugar Recalled Due To Pieces Of Plastic

The Recalled Product Was Distributed In Alberta,British Columbia",Rogers,Retail,Golden yellow sugar
234,234,Certain Jif brand Peanut Butters  recalled due to Salmonella,2022-05-22,Other,Other,,Class 2,Nationally,Certain Jif,Food - Other,Peanut butters 
235,235,Cebu's Dried Fish brand Dried Silver Fish (Bol S Dilis) recalled due to histamine,2022-05-20,Chemical,Chemical,Class 2,Retail,Alberta,Cebu's Dried Fish,Retail,Dried silver fish (bol s dilis)
236,236,Lafleur Original brand Wieners recalled due to texture and appearance issues,2022-05-19,Other,Other,Class 3,Retail,"Manitoba, New Brunswick, Nova Scotia, Ontario,,Quebec",Lafleur Original,Retail,Wieners
237,237,Suzie's brand Organic Cocktail Sauce recalled due to spoilage,2022-05-17,Quality/Spoilage,Microbial contamination,Class 3,Retail,"Alberta,British Columbia",Suzie's,Retail,Organic cocktail sauce
238,238,"Life Savers, Skittles and Starburst brand gummies recalled due to pieces of metal",2022-05-16,Extraneous Material,Extraneous Material,Class 3,Retail,Nationally,"Life Savers, Skittles and Starburst",Retail,Gummies
239,239,Below Zero brand Whole Raspberries IQF recalled due to Norovirus,2022-05-15,Norovirus,Microbial contamination,Class 2,General public,"Alberta, New Brunswick, Nova Scotia, Ontario,,Quebec",Below Zero,Whole raspberries (frozen) recalled due to norovirus,Whole raspberries iqf
240,240,Jumbo brand Melk Chocopasta (Milk Chocolate Spread) recalled due to undeclared hazelnuts,2022-05-13,Tree nut,Allergen,Class 3,Retail,"Alberta, British Columbia,,Manitoba",Jumbo,Retail,Melk chocopasta (milk chocolate spread)
241,241,Tree Brewing Co. brand Golden Larch Grapefruit Radler recalled due to undeclared sulphites,2022-05-13,Alcoholic,Beverages,,Class 1,"Alberta,British Columbia",Tree Brewing Co.,Food - Beverages - Alcoholic,Golden larch grapefruit radler
